KIA AGE,39000 km,08-2016,13.06.2021,Citadine,Essence,8 CV,Automatique,Traction,Gris anthracite,87 000 DT
KIA AGE,98000 km,04-2017,13.06.2021,4 x 4,Diesel,10 CV,Automatique,Traction,Blanc,119 000 DT
BMW X5,221000 km,02-2008,13.06.2021,4 x 4,Diesel,15 CV,Automatique,Traction,Noir,85 000 DT
PEUGEOT 107,154000 km,12-2009,13.06.2021,Citadine,Essence,4 CV,Manuelle,Traction,Noir,22 900 DT
RENAULT CLIO CAMPUS,233000 km,08-2008,13.06.2021,Citadine,Essence,4 CV,Manuelle,Traction,Gris anthracite,22 000 DT
AUDI A4,63000 km,01-2018,13.06.2021,Berline,Essence,8 CV,Automatique,Traction,Blanc,98 000 DT
CITROËN BERLINGO ,118000 km,07-2012,13.06.2021,Utilitaire,Essence,6 CV,Manuelle,Traction,Blanc,29 500 DT
RENAULT MEGANE,71000 km,12-2010,13.06.2021,Citadine,Essence,7 CV,Manuelle,Traction,Noir,35 900 DT
TOYOTA PRADO,300000 km,03-2008,13.06.2021,4 x 4,Diesel,11 CV,Automatique,Traction,Noir,115 000 DT
AUDI A4,157000 km,03-2011,13.06.2021,Berline,Essence,7 CV,Automatique,Traction,Gris argent,46 000 DT
VOLKSWAGEN GOLF 7,89000 km,09-2016,13.06.2021,Citadine,Essence,5 CV,Automatique,Traction,Noir,62 000 DT
MAZDA BT-50,129000 km,06-2017,13.06.2021,Pick up,Diesel,9 CV,Manuelle,Traction,Bleu,69 900 DT
NISSAN QASHQAI,93000 km,12-2017,13.06.2021,4 x 4,Essence,6 CV,Automatique,Traction,Noir,83 500 DT
TATA XENON,106000 km,11-2017,13.06.2021,Pick up,Diesel,7 CV,Manuelle,Traction,Blanc,27 900 DT
